"FolderName","RelativePath","FullPath","FileCount","FolderCount","SizeBytes","SizeReadable","Action","Reason","ProtectedReferences","BackupDestination"
"Insects","images\Sketches\Insects","D:\github\ron-english-sketches-and-drawings\images\Sketches\Insects","7","0","1075799","1.03 MB","Kept","Folder contains one or more files referenced by the bridge page.","images\Sketches\Insects\Bee Plug COLOR.jpg",""
"Snails","images\Sketches\Snails","D:\github\ron-english-sketches-and-drawings\images\Sketches\Snails","22","0","10892207","10.39 MB","Kept","Folder contains one or more files referenced by the bridge page.","images\Sketches\Snails\Pony Snail COLOR.jpg",""
