"Title","Slug","Images","Originals","Digital","Hero"
"Bigfoot Statue of Liberty","bigfoot-statue-of-liberty","3","1","2","Bigfoot Statue of Liberty COLOR.jpg"
"Family Icon","family-icon","1","0","1","Statues Family Icon COLOR.jpg"
"Fat Statue of Liberty","fat-statue-of-liberty","3","1","2","Fat Statue of Liberty COLOR.jpg"
"Liberty Eagle","liberty-eagle","8","4","4","Liberty Eagle front COLOR.jpg"
"Liberty Indian Eagle","liberty-indian-eagle","6","2","4","Liberty Indian Eagle Front COLOR.jpg"
"Liberty Seeds","liberty-seeds","3","1","2","Liberty Seeds COLOR.jpg"
