"Batch","Character","Page","Section","File","FullPath"
"B","Cartman Grin","cartman-grin.html","Digitized Versions","Cartman Grin colorway 3.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Cartman Grin colorway 3.jpg"
"B","Cartman Grin","cartman-grin.html","Digitized Versions","Cartman Grin colorway 4.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Cartman Grin colorway 4.jpg"
"B","Cartman Grin","cartman-grin.html","Digitized Versions","Cartman Grin colorway 5.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Cartman Grin colorway 5.jpg"
"B","Cartman Grin","cartman-grin.html","Collector Cards","Cartman Grin card.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Cartman Grin card.jpg"
"B","Catbrain Grin","catbrain-grin.html","Original Drawing","Catbrain Grin ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Catbrain Grin ORIGINAL.jpg"
"B","Cat Grin","cat-grin.html","Collector Cards","Cat Grin card 3.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Cat Grin card 3.jpg"
"B","Cat Grin","cat-grin.html","Collector Cards","Cat Grin card.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Cat Grin card.jpg"
"B","Cat Grin 1","cat-grin-1.html","Digitized Versions","Cat Grin 1 B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Cat Grin 1 B&W.jpg"
"B","Cat Grin 1","cat-grin-1.html","Digitized Versions","Cat Grin 1 COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Cat Grin 1 COLOR.jpg"
"B","Cat Grin 1","cat-grin-1.html","Collector Cards","Cat Grin 1 card.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Cat Grin 1 card.png"
"B","Cat Grin 2","cat-grin-2.html","Original Drawing","Cat Grin 2 ORIGINAL 2.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Cat Grin 2 ORIGINAL 2.jpg"
"B","Cat Grin 2","cat-grin-2.html","Original Drawing","Cat Grin 2 ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Cat Grin 2 ORIGINAL.jpg"
"B","Cat Grin 2","cat-grin-2.html","Digitized Versions","Cat Grin 2 B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Cat Grin 2 B&W.jpg"
"B","Cat Grin 2","cat-grin-2.html","Digitized Versions","Cat Grin 2 COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Cat Grin 2 COLOR.jpg"
"B","Cat in Hat Grin","cat-in-hat-grin.html","Original Drawing","Cat in Hat Grin ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Cat in Hat Grin ORIGINAL.jpg"
"B","Cat in Hat Grin","cat-in-hat-grin.html","Digitized Versions","Cat in Hat Grin B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Cat in Hat Grin B&W.jpg"
"B","Cat in Hat Grin","cat-in-hat-grin.html","Digitized Versions","Cat in Hat Grin COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Cat in Hat Grin COLOR.jpg"
"B","Charlie Brown Grin","charlie-brown-grin.html","Original Drawing","Charlie Brown Grin back ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Charlie Brown Grin back ORIGINAL.jpg"
"B","Charlie Brown Grin","charlie-brown-grin.html","Original Drawing","Charlie Brown Grin left side ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Charlie Brown Grin left side ORIGINAL.jpg"
"B","Charlie Brown Grin","charlie-brown-grin.html","Original Drawing","Charlie Brown Grin right side ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Charlie Brown Grin right side ORIGINAL.jpg"
"B","Charlie Grin Flying","charlie-grin-flying.html","Original Drawing","Charlie Grin Flying ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Charlie Grin Flying ORIGINAL.jpg"
"B","Charlie Grin Flying","charlie-grin-flying.html","Digitized Versions","Charlie Grin Flying B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Charlie Grin Flying B&W.jpg"
"B","Charlie Grin Flying","charlie-grin-flying.html","Digitized Versions","Charlie Grin Flying COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Charlie Grin Flying COLOR.jpg"
"B","Charlie Grin X Ray","charlie-grin-x-ray.html","Original Drawing","Charlie Grin X Ray ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Charlie Grin X Ray ORIGINAL.jpg"
"B","Charlie Grin X Ray","charlie-grin-x-ray.html","Original Drawing","Charlie Grin X-Ray ORIGINAL COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Charlie Grin X-Ray ORIGINAL COLOR.jpg"
"B","Charlie Grin X Ray","charlie-grin-x-ray.html","Digitized Versions","Charlie Grin X Ray B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Charlie Grin X Ray B&W.jpg"
"B","Charlie Grin X Ray","charlie-grin-x-ray.html","Digitized Versions","Charlie Grin X Ray COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Charlie Grin X Ray COLOR.jpg"
"B","Cheshire Cat Grin","cheshire-cat-grin.html","Original Drawing","Cheshire Cat Grin ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Cheshire Cat Grin ORIGINAL.jpg"
"B","Cheshire Cat Grin","cheshire-cat-grin.html","Digitized Versions","Cheshire Cat Grin B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Cheshire Cat Grin B&W.jpg"
"B","Cheshire Cat Grin","cheshire-cat-grin.html","Digitized Versions","Cheshire Cat Grin COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Cheshire Cat Grin COLOR.jpg"
"B","Chico Roco","chico-roco.html","Original Drawing","Chico Roco front ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Chico Roco front ORIGINAL.jpg"
"B","Chico Roco","chico-roco.html","Original Drawing","Chico Roco back ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Chico Roco back ORIGINAL.jpg"
"B","Chico Roco","chico-roco.html","Original Drawing","Chico Roco left side ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Chico Roco left side ORIGINAL.jpg"
"B","Chico Roco","chico-roco.html","Original Drawing","Chico Roco bottom ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Chico Roco bottom ORIGINAL.jpg"
"B","Chico Roco","chico-roco.html","Original Drawing","Chico Roco top ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Chico Roco top ORIGINAL.jpg"
"B","Chico Roco","chico-roco.html","Digitized Versions","Chico Roco front Variation B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Chico Roco front Variation B&W.jpg"
"B","Chico Roco","chico-roco.html","Digitized Versions","Chico Roco back B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Chico Roco back B&W.jpg"
"B","Chico Roco","chico-roco.html","Digitized Versions","chico roco back variation B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\chico roco back variation B&W.jpg"
"B","Chico Roco","chico-roco.html","Digitized Versions","Chico Roco left side B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Chico Roco left side B&W.jpg"
