"Batch","Character","Page","Section","File"
"H-M","Krusty the Clown Grin","krusty-the-clown-grin.html","Original Drawing","Krusty the Clown Grin front ORIGINAL.jpg"
"H-M","Krusty the Clown Grin","krusty-the-clown-grin.html","Original Drawing","Krusty the Clown Grin back ORIGINAL.jpg"
"H-M","Krusty the Clown Grin","krusty-the-clown-grin.html","Original Drawing","Krusty the Clown Grin left side ORIGINAL.jpg"
"H-M","Krusty the Clown Grin","krusty-the-clown-grin.html","Digitized Versions","Krusty the Clown Grin front B&W.jpg"
"H-M","Krusty the Clown Grin","krusty-the-clown-grin.html","Digitized Versions","Krusty the Clown Grin back B&W.jpg"
"H-M","Krusty the Clown Grin","krusty-the-clown-grin.html","Digitized Versions","Krusty the Clown Grin back COLOR.jpg"
"H-M","Krusty the Clown Grin","krusty-the-clown-grin.html","Digitized Versions","Krusty the Clown Grin left side B&W.jpg"
"H-M","Krusty the Clown Grin","krusty-the-clown-grin.html","Digitized Versions","Krusty the Clown Grin left side COLOR.jpg"
"H-M","Kursed Grin","kursed-grin.html","Digitized Versions","Kursed Grin Side View COLOR.jpg"
"H-M","Lemon Boy grin","lemon-boy-grin.html","Digitized Versions","Lemon Boy grin COLOR.jpg"
"H-M","Lemon Boy Grin Walking","lemon-boy-grin-walking.html","Original Drawing","Lemon Boy Grin Walking face ORIGINAL.jpg"
"H-M","Lemon Boy Grin Walking","lemon-boy-grin-walking.html","Digitized Versions","Lemon Boy Grin Walking COLOR.jpg"
"H-M","Leopard Grin 1","leopard-grin-1.html","Digitized Versions","Leopard Grin 1 COLOR.png"
"H-M","Leopard Grin 2","leopard-grin-2.html","Digitized Versions","Leopard Grin 2 COLOR.png"
"H-M","Leopard Grin 3","leopard-grin-3.html","Digitized Versions","Leopard Grin 3 COLOR.png"
"H-M","Liberty Grin","liberty-grin.html","Original Drawing","Liberty Grin ORIGINAL.jpg"
"H-M","Liberty Grin","liberty-grin.html","Digitized Versions","Liberty Grin B&W 3.jpeg"
"H-M","Liberty Grin","liberty-grin.html","Digitized Versions","Liberty Grin B&W.jpg"
"H-M","Lisa grin","lisa-grin.html","Original Drawing","Lisa Grin front ORIGINAL.jpg"
"H-M","Lisa grin","lisa-grin.html","Original Drawing","Lisa grin back ORIGINAL.jpg"
"H-M","Lisa grin","lisa-grin.html","Original Drawing","Lisa Grin left side ORIGINAL.jpg"
"H-M","Lisa grin","lisa-grin.html","Original Drawing","Lisa Grin right side B&W ORIGINAL.jpg"
"H-M","Lisa grin","lisa-grin.html","Digitized Versions","Lisa Grin front COLOR.jpg"
"H-M","Lisa grin","lisa-grin.html","Digitized Versions","Lisa Grin left side COLOR.jpg"
"H-M","Lucky Cat Grin","lucky-cat-grin.html","Digitized Versions","Lucky Cat Grin COLOR.jpg"
"H-M","Mad Magazine Alfred Grin","mad-magazine-alfred-grin.html","Original Drawing","Mad Magazine Alfred Grin ORIGINAL.jpeg"
"H-M","Mad Magazine Alfred Grin","mad-magazine-alfred-grin.html","Original Drawing","Mad Magazine Alfred Grin ORIGINAL.jpg"
"H-M","Mad Magazine Alfred Grin ORIGINAL.1","mad-magazine-alfred-grin-original-1.html","Original Drawing","Mad Magazine Alfred Grin ORIGINAL.1.jpg"
"H-M","Mad Mickey Grin drawing","mad-mickey-grin-drawing.html","Original Drawing","Mad Mickey Grin drawing ORIGINAL.jpg"
"H-M","Maggie Grin","maggie-grin.html","Original Drawing","Maggie Grin front ORIGINAL.jpg"
"H-M","Maggie Grin","maggie-grin.html","Original Drawing","Maggie Grin back ORIGINAL.jpg"
"H-M","Maggie Grin","maggie-grin.html","Original Drawing","Maggie Grin side ORIGINAL.jpg"
"H-M","Maggie Grin","maggie-grin.html","Digitized Versions","Maggie Grin front COLOR.jpg"
"H-M","Maggie Grin","maggie-grin.html","Digitized Versions","Maggie Grin side COLOR.jpg"
"H-M","Manny Pacquaio Grin","manny-pacquaio-grin.html","Original Drawing","Manny Pacquaio Grin ORIGINAL head.jpg"
"H-M","Manny Pacquaio Grin","manny-pacquaio-grin.html","Original Drawing","Manny Pacquaio Grin ORIGINAL legs.jpg"
"H-M","Manny Pacquaio Grin","manny-pacquaio-grin.html","Original Drawing","Manny Pacquaio Grin ORIGINAL torso.jpg"
"H-M","Manny Pacquaio Grin","manny-pacquaio-grin.html","Original Drawing","Manny Pacquaio Grin ORIGINAL.jpg"
"H-M","Manny Pacquaio Grin","manny-pacquaio-grin.html","Original Drawing","Manny Pacquaio Grin ORIGINAL COLOR 1.jpg"
"H-M","Manny Pacquaio Grin","manny-pacquaio-grin.html","Original Drawing","Manny Pacquaio Grin ORIGINAL COLOR 2.jpg"
"H-M","Manny Pacquaio Grin","manny-pacquaio-grin.html","Original Drawing","Manny Pacquaio Grin ORIGINAL COLOR 3.jpg"
"H-M","Marge Grin","marge-grin.html","Original Drawing","Marge Grin front ORIGINAL.jpg"
"H-M","Marge Grin","marge-grin.html","Original Drawing","Marge Grin back ORIGINAL.jpg"
"H-M","Marge Grin","marge-grin.html","Original Drawing","Marge Grin left side ORIGINAL.jpg"
"H-M","Marge Grin","marge-grin.html","Original Drawing","Marge Grin right side ORIGINAL.jpg"
"H-M","Marge Grin","marge-grin.html","Digitized Versions","Marge Grin front B&W.jpg"
"H-M","Marge Grin","marge-grin.html","Digitized Versions","Marge Grin back  COLOR.jpg"
"H-M","Mario Grin","mario-grin.html","Original Drawing","Mario Grin front ORIGINAL.jpg"
"H-M","Mario Grin","mario-grin.html","Original Drawing","Mario Grin left side ORIGINAL.jpg"
"H-M","Mario Grin","mario-grin.html","Original Drawing","Mario Grin right side ORIGINAL.jpg"
"H-M","Mario Grin","mario-grin.html","Digitized Versions","Mario Grin left side B&W.jpg"
"H-M","Mario Grin","mario-grin.html","Digitized Versions","Mario Grin right side B&W.jpg"
"H-M","Mario Grin","mario-grin.html","Digitized Versions","Mario Grin right side COLOR.jpg"
"H-M","MC Grin","mc-grin.html","Collector Cards","MC Grin card.jpg"
"H-M","MC Grin 2","mc-grin-2.html","Collector Cards","MC Grin 2 card.png"
"H-M","MC Supersized Grin","mc-supersized-grin.html","Original Drawing","MC Supersized Grin side ORIGINAL.jpg"
"H-M","MC Supersized Grin","mc-supersized-grin.html","Original Drawing","MC Supersized Grin ORIGINAL.jpg"
"H-M","MC Supersized Grin","mc-supersized-grin.html","Digitized Versions","MC Supersized Grin side B&W.jpeg"
"H-M","MC Supersized Grin 2","mc-supersized-grin-2.html","Original Drawing","MC Supersized Grin 2 ORIGINAL.jpg"
"H-M","MC Supersized Grin 2","mc-supersized-grin-2.html","Digitized Versions","MC Supersized Grin 2 COLOR.jpg"
"H-M","MC Supersize Grin Flying","mc-supersize-grin-flying.html","Original Drawing","MC Supersize Grin Flying ORIGINAL.jpg"
"H-M","Melting Grinnie","melting-grinnie.html","Digitized Versions","Melting Grinnie side view 1 COLOR.png"
"H-M","Melting Grinnie","melting-grinnie.html","Digitized Versions","Melting Grinnie side view 2 COLOR.png"
"H-M","Melting Grinnie","melting-grinnie.html","Digitized Versions","Melting Grinnie side view 3 COLOR.png"
"H-M","Melting Monster Grin","melting-monster-grin.html","Original Drawing","Melting Monster Grin ORIGINAL.jpg"
"H-M","Mentadusa","mentadusa.html","Original Drawing","Mentadusa ORIGINAL.jpg"
"H-M","Mentadusa","mentadusa.html","Digitized Versions","Mentadusa B&W.jpg"
"H-M","Mickey Eyes Grin 1","mickey-eyes-grin-1.html","Digitized Versions","Mickey Eyes Grin 1 COLOR.png"
"H-M","Mickey Eyes Grin 2","mickey-eyes-grin-2.html","Digitized Versions","Mickey Eyes Grin 2 COLOR.png"
