"Action","Page","Detail"
"Merged image into target page","santa-grin.html","Santa Grin 1 B&W.jpg"
"Merged image into target page","santa-grin.html","Santa Grin 1 COLOR.jpg"
"Merged image into target page","santa-grin.html","Santa Grin 1 ORIGINAL COLOR.jpg"
"Merged image into target page","santa-grin.html","Santa Grin 1 ORIGINAL.jpg"
"Merged image into target page","santa-grin.html","Santa Grin 2 B&W.jpg"
"Merged image into target page","santa-grin.html","Santa Grin 2 card.png"
"Merged image into target page","santa-grin.html","Santa Grin 2 COLOR.jpg"
"Merged image into target page","santa-grin.html","Santa Grin 2 ORIGINAL COLOR.jpg"
"Merged image into target page","santa-grin.html","Santa Grin 3 B&W.jpg"
"Merged image into target page","santa-grin.html","Santa Grin 3 COLOR.jpg"
"Merged image into target page","santa-grin.html","Santa Grin 3 ORIGINAL.jpg"
"Removed source card from index","santa-grin-1.html","Merged into santa-grin.html"
"Archived merged source page","santa-grin-1.html","D:\github\ron-english-sketches-and-drawings\Sketches\grins\_archived-merged-pages\cleanup-pass-22-20260508-102305"
"Removed source card from index","santa-grin-2.html","Merged into santa-grin.html"
"Archived merged source page","santa-grin-2.html","D:\github\ron-english-sketches-and-drawings\Sketches\grins\_archived-merged-pages\cleanup-pass-22-20260508-102305"
"Removed source card from index","santa-grin-3.html","Merged into santa-grin.html"
"Archived merged source page","santa-grin-3.html","D:\github\ron-english-sketches-and-drawings\Sketches\grins\_archived-merged-pages\cleanup-pass-22-20260508-102305"
"Updated index thumbnail","santa-grin.html","Santa Grin 1 COLOR.jpg"
"Merged image into target page","sever-fairy-landshark-grin-mickey-fin.html","Sever Fairy Landshark Grin (Mickey Fin) B&W.png"
"Merged image into target page","sever-fairy-landshark-grin-mickey-fin.html","Sever Fairy Landshark Grin (Mickey Fin) COLOR.jpg"
"Merged image into target page","sever-fairy-landshark-grin-mickey-fin.html","Sever Fairy Landshark Grin (Mickey Fin) ORIGINAL.jpg"
"Merged image into target page","sever-fairy-landshark-grin-mickey-fin.html","Sever Fairy Landshark Grin Front (Mickey Fin) COLOR.png"
"Merged image into target page","sever-fairy-landshark-grin-mickey-fin.html","Sever Fairy Landshark Grin Front (Mickey Fin) ORIGINAL.jpg"
"Merged image into target page","sever-fairy-landshark-grin-mickey-fin.html","Sever Fairy Landshark Grin ORIGINAL COLOR.jpg"
"Merged image into target page","sever-fairy-landshark-grin-mickey-fin.html","Sever Fairy Landshark Grin three quarters COLOR.jpg"
"Merged image into target page","sever-fairy-landshark-grin-mickey-fin.html","Sever Fairy Landshark Grin three quarters ORIGINAL.jpg"
"Merged image into target page","sever-fairy-landshark-grin-mickey-fin.html","Sever Fairy Landshark Grin three quarters png.jpg"
"Removed source card from index","sever-fairy-landshark-grin.html","Merged into sever-fairy-landshark-grin-mickey-fin.html"
"Archived merged source page","sever-fairy-landshark-grin.html","D:\github\ron-english-sketches-and-drawings\Sketches\grins\_archived-merged-pages\cleanup-pass-22-20260508-102305"
"Removed source card from index","sever-fairy-landshark-grin-front-mickey-fin.html","Merged into sever-fairy-landshark-grin-mickey-fin.html"
"Archived merged source page","sever-fairy-landshark-grin-front-mickey-fin.html","D:\github\ron-english-sketches-and-drawings\Sketches\grins\_archived-merged-pages\cleanup-pass-22-20260508-102305"
"Removed source card from index","sever-fairy-landshark-grin-three-quarters.html","Merged into sever-fairy-landshark-grin-mickey-fin.html"
"Archived merged source page","sever-fairy-landshark-grin-three-quarters.html","D:\github\ron-english-sketches-and-drawings\Sketches\grins\_archived-merged-pages\cleanup-pass-22-20260508-102305"
"Merged image into target page","man-shark.html","Man Shark COLORED.jpg"
"Merged image into target page","man-shark.html","Shark Man Grin B&W.jpg"
"Merged image into target page","man-shark.html","Shark Man Grin COLOR.jpg"
"Merged image into target page","man-shark.html","Shark Man Grin ORIGINAL.jpg"
"Removed source card from index","shark-man-grin.html","Merged into man-shark.html"
"Archived merged source page","shark-man-grin.html","D:\github\ron-english-sketches-and-drawings\Sketches\grins\_archived-merged-pages\cleanup-pass-22-20260508-102305"
"Updated index thumbnail","man-shark.html","Man Shark COLORED.jpg"
"Merged image into target page","simpsons-family.html","Simpsons Family Grins 1 ORIGINAL.jpg"
"Merged image into target page","simpsons-family.html","Simpsons Family Grins 2 ORIGINAL.jpg"
