"FileName","FullPath","RelativePathFromRepo","RelativePathFromSketchesImages","FolderRelativeToSketchesImages","CategoryGuess","SubcategoryGuess","Extension","SizeBytes","LastWriteTime","ImageKindGuess","WorkNameGuess","GroupKey","PublicImageURL","GoogleSheetsImageFormula","Width","Height","DimensionStatus"
"brains-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\brains-hero.jpg","images\Sketches\brains-hero.jpg","brains-hero.jpg","","(root)","",".jpg","257542","5/6/2026 6:18:37 AM","Main or unclassified","brains hero","|brains hero","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/brains-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/brains-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/brains-hero.jpg"",1))","","","Not read"
"buzzards-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\buzzards-hero.jpg","images\Sketches\buzzards-hero.jpg","buzzards-hero.jpg","","(root)","",".jpg","159369","5/6/2026 6:18:37 AM","Main or unclassified","buzzards hero","|buzzards hero","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/buzzards-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/buzzards-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/buzzards-hero.jpg"",1))","","","Not read"
"canines-and-felines-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\canines-and-felines-hero.jpg","images\Sketches\canines-and-felines-hero.jpg","canines-and-felines-hero.jpg","","(root)","",".jpg","210426","5/6/2026 6:18:37 AM","Main or unclassified","canines and felines hero","|canines and felines hero","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/canines-and-felines-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/canines-and-felines-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/canines-and-felines-hero.jpg"",1))","","","Not read"
"celebrity-characters-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\celebrity-characters-hero.jpg","images\Sketches\celebrity-characters-hero.jpg","celebrity-characters-hero.jpg","","(root)","",".jpg","153487","5/6/2026 6:18:37 AM","Main or unclassified","celebrity characters hero","|celebrity characters hero","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/celebrity-characters-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/celebrity-characters-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/celebrity-characters-hero.jpg"",1))","","","Not read"
"cereal-killer-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\cereal-killer-hero.jpg","images\Sketches\cereal-killer-hero.jpg","cereal-killer-hero.jpg","","(root)","",".jpg","207232","5/6/2026 6:18:37 AM","Main or unclassified","cereal killer hero","|cereal killer hero","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/cereal-killer-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/cereal-killer-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/cereal-killer-hero.jpg"",1))","","","Not read"
"character-balls-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-balls-hero.jpg","images\Sketches\character-balls-hero.jpg","character-balls-hero.jpg","","(root)","",".jpg","155175","5/6/2026 6:18:37 AM","Main or unclassified","character balls hero","|character balls hero","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/character-balls-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/character-balls-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/character-balls-hero.jpg"",1))","","","Not read"
"combrats-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\combrats-hero.jpg","images\Sketches\combrats-hero.jpg","combrats-hero.jpg","","(root)","",".jpg","163438","5/6/2026 6:18:37 AM","Main or unclassified","combrats hero","|combrats hero","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/combrats-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/combrats-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/combrats-hero.jpg"",1))","","","Not read"
"flowers-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\flowers-hero.jpg","images\Sketches\flowers-hero.jpg","flowers-hero.jpg","","(root)","",".jpg","188237","5/6/2026 6:18:37 AM","Main or unclassified","flowers hero","|flowers hero","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/flowers-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/flowers-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/flowers-hero.jpg"",1))","","","Not read"
"frog-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\frog-hero.jpg","images\Sketches\frog-hero.jpg","frog-hero.jpg","","(root)","",".jpg","192919","5/6/2026 6:18:37 AM","Main or unclassified","frog hero","|frog hero","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/frog-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/frog-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/frog-hero.jpg"",1))","","","Not read"
"grinnies-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grinnies-hero.jpg","images\Sketches\grinnies-hero.jpg","grinnies-hero.jpg","","(root)","",".jpg","139294","5/6/2026 6:18:37 AM","Main or unclassified","grinnies hero","|grinnies hero","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/grinnies-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/grinnies-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/grinnies-hero.jpg"",1))","","","Not read"
