"ProposedTitle","ProposedSlug","ImageCount","OriginalCount","DigitalCount","SuggestedHero","ImageFiles"
"Bigfoot of Liberty","bigfoot-of-liberty","3","1","2","Bigfoot Statue of Liberty COLOR.jpg","Bigfoot Statue of Liberty COLOR.jpg | Bigfoot Statue of Liberty B&W.jpg | Bigfoot Statue of Liberty ORIGINAL.jpg"
"Eagle Liberty","eagle-liberty","2","2","0","Eagle Liberty back ORIGINAL.jpg","Eagle Liberty back ORIGINAL.jpg | Eagle Liberty left ORIGINAL.jpg"
"Family Icon","family-icon","1","0","1","Statues Family Icon COLOR.jpg","Statues Family Icon COLOR.jpg"
"Fat of Liberty","fat-of-liberty","3","1","2","Fat Statue of Liberty COLOR.jpg","Fat Statue of Liberty COLOR.jpg | Fat Statue of Liberty B&W.jpg | Fat Statue of Liberty ORIGINAL.jpg"
"Liberty Eagle","liberty-eagle","6","2","4","Liberty Eagle front COLOR.jpg","Liberty Eagle front COLOR.jpg | Liberty eagle side COLOR.jpg | Liberty Eagle front B&W.jpg | Liberty eagle side B&W.jpg | Liberty Eagle front ORIGINAL.jpg | Liberty eagle side ORIGINAL.jpg"
"Liberty Indian Eagle","liberty-indian-eagle","6","2","4","Liberty Indian Eagle Front COLOR.jpg","Liberty Indian Eagle Front COLOR.jpg | Liberty Indian Eagle Front ORIGINAL COLOR.jpg | Liberty Indian Eagle right side COLOR.jpg | Liberty Indian Eagle Front B&W.jpg | Liberty Indian Eagle right side B&W.jpg | Liberty Indian Eagle right side ORIGINAL.jpg"
"Liberty Seeds","liberty-seeds","3","1","2","Liberty Seeds COLOR.jpg","Liberty Seeds COLOR.jpg | Liberty Seeds B&W.jpg | Liberty Seeds ORIGINAL.jpg"
