"RepoName","RepoLocalPath","WorkTitle","Category","Subcategory","RelativeHtmlPath","PublicPageURL","ImageOrder","ImageKind","ImageFileName","RawReference","ResolvedPath","LocalImagePath","ExistsLocal","PublicImageURL","GoogleSheetsImageFormula"
"Aliens","D:\github\ron-english-sketches-aliens","Light Cult Cryptonaut","aliens","aliens","Sketches\aliens\light-cult-cryptonaut.html","https://ronenglish-archive.github.io/ron-english-sketches-aliens/Sketches/aliens/light-cult-cryptonaut.html","5","Digital","Light Cult Cryptonaut - pose 3 B&W.jpg","../../images/Sketches/aliens/Light Cult Cryptonaut - pose 3 B&W.jpg","images/Sketches/aliens/Light Cult Cryptonaut - pose 3 B&W.jpg","D:\github\ron-english-sketches-aliens\images\Sketches\aliens\Light Cult Cryptonaut - pose 3 B&W.jpg","YES","https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens/Light%20Cult%20Cryptonaut%20-%20pose%203%20B%26W.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens/Light%20Cult%20Cryptonaut%20-%20pose%203%20B%26W.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens/Light%20Cult%20Cryptonaut%20-%20pose%203%20B%26W.jpg"",4,120,120))"
"Aliens","D:\github\ron-english-sketches-aliens","Light Cult Cryptonaut","aliens","aliens","Sketches\aliens\light-cult-cryptonaut.html","https://ronenglish-archive.github.io/ron-english-sketches-aliens/Sketches/aliens/light-cult-cryptonaut.html","6","Color","Light Cult Cryptonaut - pose 1 color.jpg","../../images/Sketches/aliens/Light Cult Cryptonaut - pose 1 color.jpg","images/Sketches/aliens/Light Cult Cryptonaut - pose 1 color.jpg","D:\github\ron-english-sketches-aliens\images\Sketches\aliens\Light Cult Cryptonaut - pose 1 color.jpg","YES","https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens/Light%20Cult%20Cryptonaut%20-%20pose%201%20color.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens/Light%20Cult%20Cryptonaut%20-%20pose%201%20color.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens/Light%20Cult%20Cryptonaut%20-%20pose%201%20color.jpg"",4,120,120))"
"Aliens","D:\github\ron-english-sketches-aliens","Light Cult Cryptonaut","aliens","aliens","Sketches\aliens\light-cult-cryptonaut.html","https://ronenglish-archive.github.io/ron-english-sketches-aliens/Sketches/aliens/light-cult-cryptonaut.html","7","Color","Light Cult Cryptonaut - pose 2 color.jpg","../../images/Sketches/aliens/Light Cult Cryptonaut - pose 2 color.jpg","images/Sketches/aliens/Light Cult Cryptonaut - pose 2 color.jpg","D:\github\ron-english-sketches-aliens\images\Sketches\aliens\Light Cult Cryptonaut - pose 2 color.jpg","YES","https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens/Light%20Cult%20Cryptonaut%20-%20pose%202%20color.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens/Light%20Cult%20Cryptonaut%20-%20pose%202%20color.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens/Light%20Cult%20Cryptonaut%20-%20pose%202%20color.jpg"",4,120,120))"
"Aliens","D:\github\ron-english-sketches-aliens","Light Cult Cryptonaut","aliens","aliens","Sketches\aliens\light-cult-cryptonaut.html","https://ronenglish-archive.github.io/ron-english-sketches-aliens/Sketches/aliens/light-cult-cryptonaut.html","8","Color","Light Cult Cryptonaut - pose 3 color.jpg","../../images/Sketches/aliens/Light Cult Cryptonaut - pose 3 color.jpg","images/Sketches/aliens/Light Cult Cryptonaut - pose 3 color.jpg","D:\github\ron-english-sketches-aliens\images\Sketches\aliens\Light Cult Cryptonaut - pose 3 color.jpg","YES","https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens/Light%20Cult%20Cryptonaut%20-%20pose%203%20color.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens/Light%20Cult%20Cryptonaut%20-%20pose%203%20color.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens/Light%20Cult%20Cryptonaut%20-%20pose%203%20color.jpg"",4,120,120))"
"Aliens","D:\github\ron-english-sketches-aliens","Light Cult Cryptonaut","aliens","aliens","Sketches\aliens\light-cult-cryptonaut.html","https://ronenglish-archive.github.io/ron-english-sketches-aliens/Sketches/aliens/light-cult-cryptonaut.html","9","Related/other","cryptonaut card 1.jpg","../../images/Sketches/aliens 2/cryptonaut card 1.jpg","images/Sketches/aliens 2/cryptonaut card 1.jpg","D:\github\ron-english-sketches-aliens\images\Sketches\aliens 2\cryptonaut card 1.jpg","YES","https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens%202/cryptonaut%20card%201.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens%202/cryptonaut%20card%201.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens%202/cryptonaut%20card%201.jpg"",4,120,120))"
"Aliens","D:\github\ron-english-sketches-aliens","Light Cult Cryptonaut","aliens","aliens","Sketches\aliens\light-cult-cryptonaut.html","https://ronenglish-archive.github.io/ron-english-sketches-aliens/Sketches/aliens/light-cult-cryptonaut.html","10","Related/other","cryptonaut card 2.jpg","../../images/Sketches/aliens 2/cryptonaut card 2.jpg","images/Sketches/aliens 2/cryptonaut card 2.jpg","D:\github\ron-english-sketches-aliens\images\Sketches\aliens 2\cryptonaut card 2.jpg","YES","https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens%202/cryptonaut%20card%202.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens%202/cryptonaut%20card%202.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens%202/cryptonaut%20card%202.jpg"",4,120,120))"
"Aliens","D:\github\ron-english-sketches-aliens","Lightning Hawk","aliens","aliens","Sketches\aliens\lightning-hawk.html","https://ronenglish-archive.github.io/ron-english-sketches-aliens/Sketches/aliens/lightning-hawk.html","1","Original","Lightning Hawk - original.jpg","../../images/Sketches/aliens/Lightning Hawk - original.jpg","images/Sketches/aliens/Lightning Hawk - original.jpg","D:\github\ron-english-sketches-aliens\images\Sketches\aliens\Lightning Hawk - original.jpg","YES","https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens/Lightning%20Hawk%20-%20original.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens/Lightning%20Hawk%20-%20original.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens/Lightning%20Hawk%20-%20original.jpg"",4,120,120))"
"Aliens","D:\github\ron-english-sketches-aliens","Lightning Hawk","aliens","aliens","Sketches\aliens\lightning-hawk.html","https://ronenglish-archive.github.io/ron-english-sketches-aliens/Sketches/aliens/lightning-hawk.html","2","Digital","Lightning Hawk - B&W.jpg","../../images/Sketches/aliens/Lightning Hawk - B&W.jpg","images/Sketches/aliens/Lightning Hawk - B&W.jpg","D:\github\ron-english-sketches-aliens\images\Sketches\aliens\Lightning Hawk - B&W.jpg","YES","https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens/Lightning%20Hawk%20-%20B%26W.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens/Lightning%20Hawk%20-%20B%26W.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens/Lightning%20Hawk%20-%20B%26W.jpg"",4,120,120))"
"Aliens","D:\github\ron-english-sketches-aliens","Lightning Hawk","aliens","aliens","Sketches\aliens\lightning-hawk.html","https://ronenglish-archive.github.io/ron-english-sketches-aliens/Sketches/aliens/lightning-hawk.html","3","Color","Lightning Hawk - color.jpg","../../images/Sketches/aliens/Lightning Hawk - color.jpg","images/Sketches/aliens/Lightning Hawk - color.jpg","D:\github\ron-english-sketches-aliens\images\Sketches\aliens\Lightning Hawk - color.jpg","YES","https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens/Lightning%20Hawk%20-%20color.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens/Lightning%20Hawk%20-%20color.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens/Lightning%20Hawk%20-%20color.jpg"",4,120,120))"
"Aliens","D:\github\ron-english-sketches-aliens","Lillithone Saviour","aliens","aliens","Sketches\aliens\lillithone-saviour.html","https://ronenglish-archive.github.io/ron-english-sketches-aliens/Sketches/aliens/lillithone-saviour.html","1","Original","Equinoxious ORIGINAL.jpg","../../images/Sketches/aliens/Equinoxious ORIGINAL.jpg","images/Sketches/aliens/Equinoxious ORIGINAL.jpg","D:\github\ron-english-sketches-aliens\images\Sketches\aliens\Equinoxious ORIGINAL.jpg","YES","https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens/Equinoxious%20ORIGINAL.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens/Equinoxious%20ORIGINAL.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-aliens/images/Sketches/aliens/Equinoxious%20ORIGINAL.jpg"",4,120,120))"
