"Name","Type","RelativePath","FullPath","IsProtectedByBridgeAudit","FileCount","FolderCount","SizeBytes","SizeReadable","Recommendation","Reason"
"brains-hero.jpg","File","images\Sketches\brains-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\brains-hero.jpg","True","","","257542","251.51 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"birdy card 2.jpg","File","images\Sketches\birdy card 2.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\birdy card 2.jpg","False","","","235005","229.50 KB","Review","Root-level image file under images\Sketches. It may be a bridge thumbnail or an old hero file."
"aliens-hero.jpg","File","images\Sketches\aliens-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\aliens-hero.jpg","True","","","232973","227.51 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"birdy card 1.jpg","File","images\Sketches\birdy card 1.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\birdy card 1.jpg","False","","","229158","223.79 KB","Review","Root-level image file under images\Sketches. It may be a bridge thumbnail or an old hero file."
"canines-and-felines-hero.jpg","File","images\Sketches\canines-and-felines-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\canines-and-felines-hero.jpg","True","","","210426","205.49 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"cereal-killer-hero.jpg","File","images\Sketches\cereal-killer-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\cereal-killer-hero.jpg","False","","","207232","202.38 KB","Review","Root-level image file under images\Sketches. It may be a bridge thumbnail or an old hero file."
"snails-hero.jpg","File","images\Sketches\snails-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\snails-hero.jpg","False","","","197434","192.81 KB","Review","Root-level image file under images\Sketches. It may be a bridge thumbnail or an old hero file."
"frog-hero.jpg","File","images\Sketches\frog-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\frog-hero.jpg","False","","","192919","188.40 KB","Review","Root-level image file under images\Sketches. It may be a bridge thumbnail or an old hero file."
"bigfoot-hero.jpg","File","images\Sketches\bigfoot-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot-hero.jpg","True","","","188771","184.35 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"flowers-hero.jpg","File","images\Sketches\flowers-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\flowers-hero.jpg","True","","","188237","183.83 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"kursed-hero.jpg","File","images\Sketches\kursed-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\kursed-hero.jpg","True","","","187932","183.53 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"sketches-hero.jpg","File","images\Sketches\sketches-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\sketches-hero.jpg","False","","","186934","182.55 KB","Review","Root-level image file under images\Sketches. It may be a bridge thumbnail or an old hero file."
"avians-hero.jpg","File","images\Sketches\avians-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\avians-hero.jpg","True","","","180716","176.48 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"salamanders-hero.jpg","File","images\Sketches\salamanders-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\salamanders-hero.jpg","False","","","170198","166.21 KB","Review","Root-level image file under images\Sketches. It may be a bridge thumbnail or an old hero file."
"combrats-hero.jpg","File","images\Sketches\combrats-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\combrats-hero.jpg","True","","","163438","159.61 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"skeletons-hero.jpg","File","images\Sketches\skeletons-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\skeletons-hero.jpg","True","","","162332","158.53 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"buzzards-hero.jpg","File","images\Sketches\buzzards-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\buzzards-hero.jpg","False","","","159369","155.63 KB","Review","Root-level image file under images\Sketches. It may be a bridge thumbnail or an old hero file."
"character-balls-hero.jpg","File","images\Sketches\character-balls-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-balls-hero.jpg","True","","","155175","151.54 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"bears-hero.jpg","File","images\Sketches\bears-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bears-hero.jpg","True","","","154889","151.26 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"amphibians-hero.jpg","File","images\Sketches\amphibians-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\amphibians-hero.jpg","True","","","154713","151.09 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"celebrity-characters-hero.jpg","File","images\Sketches\celebrity-characters-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\celebrity-characters-hero.jpg","True","","","153487","149.89 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"aquatic-dwellers-hero.jpg","File","images\Sketches\aquatic-dwellers-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\aquatic-dwellers-hero.jpg","True","","","148028","144.56 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"words-and-phrases-hero.jpg","File","images\Sketches\words-and-phrases-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\words-and-phrases-hero.jpg","True","","","146478","143.04 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"light-cult-hero.jpg","File","images\Sketches\light-cult-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\light-cult-hero.jpg","True","","","143182","139.83 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"animation-sketches-hero.jpg","File","images\Sketches\animation-sketches-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\animation-sketches-hero.jpg","False","","","140732","137.43 KB","Review","Root-level image file under images\Sketches. It may be a bridge thumbnail or an old hero file."
"grinnies-hero.jpg","File","images\Sketches\grinnies-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grinnies-hero.jpg","True","","","139294","136.03 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"tots-hero.jpg","File","images\Sketches\tots-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\tots-hero.jpg","True","","","137560","134.34 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"body-parts-hero.jpg","File","images\Sketches\body-parts-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\body-parts-hero.jpg","False","","","131273","128.20 KB","Review","Root-level image file under images\Sketches. It may be a bridge thumbnail or an old hero file."
"monkeys-hero.jpg","File","images\Sketches\monkeys-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\monkeys-hero.jpg","True","","","129391","126.36 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"pigs.jpg","File","images\Sketches\pigs.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\pigs.jpg","False","","","128389","125.38 KB","Review","Root-level image file under images\Sketches. It may be a bridge thumbnail or an old hero file."
"mythical-beings-hero.jpg","File","images\Sketches\mythical-beings-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\mythical-beings-hero.jpg","True","","","126634","123.67 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"kaijus-hero.jpg","File","images\Sketches\kaijus-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\kaijus-hero.jpg","True","","","122805","119.93 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"insects-hero.jpg","File","images\Sketches\insects-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\insects-hero.jpg","False","","","122467","119.60 KB","Review","Root-level image file under images\Sketches. It may be a bridge thumbnail or an old hero file."
"small-mammals-hero.jpg","File","images\Sketches\small-mammals-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\small-mammals-hero.jpg","True","","","117820","115.06 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"objects-hero.jpg","File","images\Sketches\objects-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\objects-hero.jpg","True","","","115007","112.31 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"tvities-hero.jpg","File","images\Sketches\tvities-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\tvities-hero.jpg","True","","","114312","111.63 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"reptiles-hero.jpg","File","images\Sketches\reptiles-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\reptiles-hero.jpg","True","","","110741","108.15 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"ungulates-hero.jpg","File","images\Sketches\ungulates-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\ungulates-hero.jpg","True","","","96565","94.30 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"yin-yangs-hero.jpg","File","images\Sketches\yin-yangs-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\yin-yangs-hero.jpg","True","","","72574","70.87 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
