"Name","Extension","RelativePath","FullPath","IsProtectedByBridgeAudit","SizeBytes","SizeReadable","LastWriteTime","Recommendation"
"Flava Fav ORIGINAL.jpg",".jpg","images\Sketches\celebrity-characters\Flava Flav\Flava Fav ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\celebrity-characters\Flava Flav\Flava Fav ORIGINAL.jpg","False","482501","471.19 KB","5/8/2026 12:11:28 PM","Candidate for removal later if not needed by bridge"
"South Park Last Supper Chef ORIGINAL.jpg",".jpg","images\Sketches\celebrity-characters\South Park\South Park Last Supper Chef ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\celebrity-characters\South Park\South Park Last Supper Chef ORIGINAL.jpg","False","482332","471.03 KB","5/8/2026 12:50:37 PM","Candidate for removal later if not needed by bridge"
"Freak Bro Afro Stache COLOR.jpg",".jpg","images\Sketches\grins\Freak Bro Afro Stache COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Freak Bro Afro Stache COLOR.jpg","False","481612","470.32 KB","5/8/2026 6:52:54 AM","Candidate for removal later if not needed by bridge"
"Spongebob Grin ORIGINAL.jpg",".jpg","images\Sketches\grins\Spongebob Grin ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Spongebob Grin ORIGINAL.jpg","False","481604","470.32 KB","5/7/2026 6:58:01 PM","Candidate for removal later if not needed by bridge"
"Grinnie Sideview Eyeball COLOR.jpg",".jpg","images\Sketches\grins\Grinnie Sideview Eyeball COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Grinnie Sideview Eyeball COLOR.jpg","False","481010","469.74 KB","5/8/2026 6:53:03 AM","Candidate for removal later if not needed by bridge"
"Bart side 1 COLOR.png",".png","images\Sketches\celebrity-characters\Simpsons\Bart side 1 COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\celebrity-characters\Simpsons\Bart side 1 COLOR.png","False","479940","468.69 KB","5/8/2026 11:02:33 AM","Candidate for removal later if not needed by bridge"
"Mickey Mouse Grin back B&W.jpg",".jpg","images\Sketches\grins\Mickey Mouse Grin back B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Mickey Mouse Grin back B&W.jpg","False","479928","468.68 KB","5/8/2026 6:52:54 AM","Candidate for removal later if not needed by bridge"
"Smack, Crack, Pop Grin B&W.jpg",".jpg","images\Sketches\grins\Smack, Crack, Pop Grin B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Smack, Crack, Pop Grin B&W.jpg","False","479910","468.66 KB","5/8/2026 6:52:54 AM","Candidate for removal later if not needed by bridge"
"family_iconpage_delusionville_book-01.jpg",".jpg","images\Sketches\Objects\patterns-symbols-and-icons\family_iconpage_delusionville_book-01.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Objects\patterns-symbols-and-icons\family_iconpage_delusionville_book-01.jpg","False","478568","467.35 KB","5/9/2026 11:42:03 AM","Candidate for removal later if not needed by bridge"
"Ring Racer ORIGINAL COLOR.jpg",".jpg","images\Sketches\grins\Ring Racer ORIGINAL COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Ring Racer ORIGINAL COLOR.jpg","False","477933","466.73 KB","5/8/2026 6:53:03 AM","Candidate for removal later if not needed by bridge"
"Santa Grin 1 B&W.jpg",".jpg","images\Sketches\grins\Santa Grin 1 B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Santa Grin 1 B&W.jpg","False","477909","466.71 KB","5/8/2026 6:52:54 AM","Candidate for removal later if not needed by bridge"
"Alien Quack Crown COLOR.png",".png","images\Sketches\avians\ducks\Alien Quack Crown COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\avians\ducks\Alien Quack Crown COLOR.png","False","476874","465.70 KB","5/6/2026 2:56:39 PM","Candidate for removal later if not needed by bridge"
"psychedelicdollarbill copy.jpg",".jpg","images\Sketches\Objects\money-and-currency\psychedelicdollarbill copy.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Objects\money-and-currency\psychedelicdollarbill copy.jpg","False","475710","464.56 KB","5/9/2026 11:41:51 AM","Candidate for removal later if not needed by bridge"
