"Name","Extension","RelativePath","FullPath","IsProtectedByBridgeAudit","SizeBytes","SizeReadable","LastWriteTime","Recommendation"
"Area 54 Cards - 339 - Cavaler Avaler.jpg",".jpg","images\Sketches\aliens\Area 54 Cards - 339 - Cavaler Avaler.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\aliens\Area 54 Cards - 339 - Cavaler Avaler.jpg","False","452064","441.47 KB","5/9/2026 12:16:43 PM","Candidate for removal later if not needed by bridge"
"Scrap Ard back digital COLOR.jpg",".jpg","images\Sketches\avians\buzzards\Scrap Ard back digital COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\avians\buzzards\Scrap Ard back digital COLOR.jpg","False","451446","440.87 KB","3/19/2026 3:11:18 PM","Candidate for removal later if not needed by bridge"
"DEADMAU5 Grin back B&W.jpg",".jpg","images\Sketches\grins\DEADMAU5 Grin back B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\DEADMAU5 Grin back B&W.jpg","False","451366","440.79 KB","5/8/2026 6:52:54 AM","Candidate for removal later if not needed by bridge"
"Teletubby Grin Flying COLOR.jpg",".jpg","images\Sketches\grins\Teletubby Grin Flying COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Teletubby Grin Flying COLOR.jpg","False","451268","440.69 KB","5/8/2026 6:52:54 AM","Candidate for removal later if not needed by bridge"
"Sugar Clown Grin back B&W.jpg",".jpg","images\Sketches\grins\Sugar Clown Grin back B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Sugar Clown Grin back B&W.jpg","False","451201","440.63 KB","5/8/2026 6:52:54 AM","Candidate for removal later if not needed by bridge"
"Kursed Kid 4 ORIGINAL.jpg",".jpg","images\Sketches\Kursed\Kursed Kid 4 ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Kursed\Kursed Kid 4 ORIGINAL.jpg","False","451160","440.59 KB","5/9/2026 8:16:15 AM","Candidate for removal later if not needed by bridge"
"Ninja Turtle Grin B&W.jpg",".jpg","images\Sketches\grins\Ninja Turtle Grin B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Ninja Turtle Grin B&W.jpg","False","451047","440.48 KB","5/8/2026 6:52:54 AM","Candidate for removal later if not needed by bridge"
"Dino Heart Grin ORIGINAL.jpg",".jpg","images\Sketches\grins\Dino Heart Grin ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dino Heart Grin ORIGINAL.jpg","False","450951","440.38 KB","5/8/2026 6:53:03 AM","Candidate for removal later if not needed by bridge"
"Freak Cat COLOR.jpg",".jpg","images\Sketches\grins\Freak Cat COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Freak Cat COLOR.jpg","False","450791","440.23 KB","5/8/2026 6:52:45 AM","Candidate for removal later if not needed by bridge"
"Grin Car front COLOR.jpg",".jpg","images\Sketches\grins\Grin Car front COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Grin Car front COLOR.jpg","False","449504","438.97 KB","5/8/2026 6:52:54 AM","Candidate for removal later if not needed by bridge"
"Figment Bust left side ORIGINAL.jpg",".jpg","images\Sketches\Skeletons\Figment Bust left side ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Skeletons\Figment Bust left side ORIGINAL.jpg","False","449403","438.87 KB","5/9/2026 10:28:22 AM","Candidate for removal later if not needed by bridge"
"Snoopy Grin front B&W.jpg",".jpg","images\Sketches\grins\Snoopy Grin front B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Snoopy Grin front B&W.jpg","False","449221","438.69 KB","5/8/2026 6:52:45 AM","Candidate for removal later if not needed by bridge"
"Spongebob Grin B&W.jpg",".jpg","images\Sketches\grins\Spongebob Grin B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Spongebob Grin B&W.jpg","False","448859","438.34 KB","5/8/2026 6:52:54 AM","Candidate for removal later if not needed by bridge"
"Two-Faced Rabbbit Grin front ORIGINAL.jpg",".jpg","images\Sketches\grins\Two-Faced Rabbbit Grin front ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Two-Faced Rabbbit Grin front ORIGINAL.jpg","False","448693","438.18 KB","3/21/2026 7:28:43 AM","Candidate for removal later if not needed by bridge"
"Starskull Trooper Grin B&W.jpg",".jpg","images\Sketches\grins\Starskull Trooper Grin B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Starskull Trooper Grin B&W.jpg","False","447926","437.43 KB","5/8/2026 6:52:54 AM","Candidate for removal later if not needed by bridge"
"Snailien King COLOR 2.jpg",".jpg","images\Sketches\Snails\Snailien King COLOR 2.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Snails\Snailien King COLOR 2.jpg","False","447537","437.05 KB","5/10/2026 7:01:41 AM","Candidate for removal later if not needed by bridge"
"Telegrinnie side ORIGINAL.jpg",".jpg","images\Sketches\grins\Telegrinnie side ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Telegrinnie side ORIGINAL.jpg","False","447185","436.70 KB","3/21/2026 7:24:46 AM","Candidate for removal later if not needed by bridge"
"family_iconpage_delusionville_book-01-2-0.jpg",".jpg","images\Sketches\Objects\patterns-symbols-and-icons\family_iconpage_delusionville_book-01-2-0.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Objects\patterns-symbols-and-icons\family_iconpage_delusionville_book-01-2-0.jpg","False","446697","436.23 KB","5/9/2026 11:42:03 AM","Candidate for removal later if not needed by bridge"
"Zubby Tubby left side COLOR.jpg",".jpg","images\Sketches\celebrity-characters\Teletubbies\Zubby Tubby left side COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\celebrity-characters\Teletubbies\Zubby Tubby left side COLOR.jpg","False","446490","436.03 KB","5/8/2026 1:05:48 PM","Candidate for removal later if not needed by bridge"
"MC Supersized Grin B&W.jpg",".jpg","images\Sketches\grins\MC Supersized Grin B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\MC Supersized Grin B&W.jpg","False","446174","435.72 KB","5/8/2026 6:52:54 AM","Candidate for removal later if not needed by bridge"
"Area 54 Cards - 338 - Cavaler Avaler.jpg",".jpg","images\Sketches\aliens\Area 54 Cards - 338 - Cavaler Avaler.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\aliens\Area 54 Cards - 338 - Cavaler Avaler.jpg","False","446021","435.57 KB","5/9/2026 12:16:42 PM","Candidate for removal later if not needed by bridge"
"Surrealasaurus three quarters ORIGINAL.jpg",".jpg","images\Sketches\Kaijus\Surrealasaurus three quarters ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Kaijus\Surrealasaurus three quarters ORIGINAL.jpg","False","445870","435.42 KB","5/8/2026 5:40:11 PM","Candidate for removal later if not needed by bridge"
"series 2 #37 back - AQUA APES - Walter Waters - rare.jpg",".jpg","images\Sketches\aquatic-dwellers\aqua-apes\series 2 #37 back - AQUA APES - Walter Waters - rare.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\aquatic-dwellers\aqua-apes\series 2 #37 back - AQUA APES - Walter Waters - rare.jpg","False","445618","435.17 KB","5/6/2026 10:34:43 AM","Candidate for removal later if not needed by bridge"
"Mogul Grin right side B&W.jpg",".jpg","images\Sketches\grins\Mogul Grin right side B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Mogul Grin right side B&W.jpg","False","445139","434.71 KB","5/8/2026 6:53:03 AM","Candidate for removal later if not needed by bridge"
"Grimical Credance - color.jpg",".jpg","images\Sketches\aliens\Grimical Credance - color.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\aliens\Grimical Credance - color.jpg","False","444860","434.43 KB","5/6/2026 6:18:36 AM","Candidate for removal later if not needed by bridge"
"Dubby Tubby back COLOR.jpg",".jpg","images\Sketches\celebrity-characters\Teletubbies\Dubby Tubby back COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\celebrity-characters\Teletubbies\Dubby Tubby back COLOR.jpg","False","444510","434.09 KB","5/8/2026 1:04:56 PM","Candidate for removal later if not needed by bridge"
"Zubby Tubby front ORIGINAL.jpg",".jpg","images\Sketches\celebrity-characters\Teletubbies\Zubby Tubby front ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\celebrity-characters\Teletubbies\Zubby Tubby front ORIGINAL.jpg","False","444230","433.82 KB","5/8/2026 1:04:56 PM","Candidate for removal later if not needed by bridge"
"cashcowback copy.jpg",".jpg","images\Sketches\Objects\money-and-currency\cashcowback copy.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Objects\money-and-currency\cashcowback copy.jpg","False","443828","433.43 KB","5/9/2026 11:41:34 AM","Candidate for removal later if not needed by bridge"
"Kanegon Grin B&W.jpg",".jpg","images\Sketches\grins\Kanegon Grin B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Kanegon Grin B&W.jpg","False","442876","432.50 KB","5/8/2026 6:52:54 AM","Candidate for removal later if not needed by bridge"
"Smurfette Grin B&W.jpg",".jpg","images\Sketches\grins\Smurfette Grin B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Smurfette Grin B&W.jpg","False","442145","431.78 KB","5/8/2026 6:52:54 AM","Candidate for removal later if not needed by bridge"
"Grin Reaper version 2 COLOR.jpg",".jpg","images\Sketches\grins\Grin Reaper version 2 COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Grin Reaper version 2 COLOR.jpg","False","442129","431.77 KB","5/8/2026 6:52:54 AM","Candidate for removal later if not needed by bridge"
"Vull Ture COLOR ORIGINAL 3.jpg",".jpg","images\Sketches\avians\buzzards\Vull Ture COLOR ORIGINAL 3.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\avians\buzzards\Vull Ture COLOR ORIGINAL 3.jpg","False","441615","431.26 KB","3/19/2026 3:11:16 PM","Candidate for removal later if not needed by bridge"
"plaidpattern1-1small.jpg",".jpg","images\Sketches\Objects\patterns-symbols-and-icons\plaidpattern1-1small.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Objects\patterns-symbols-and-icons\plaidpattern1-1small.jpg","False","441016","430.68 KB","5/9/2026 11:42:08 AM","Candidate for removal later if not needed by bridge"
"Hawaiian Punch Grin B&W.jpg",".jpg","images\Sketches\grins\Hawaiian Punch Grin B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Hawaiian Punch Grin B&W.jpg","False","441002","430.67 KB","5/8/2026 6:52:54 AM","Candidate for removal later if not needed by bridge"
"Homer Grin 3 back COLOR.jpg",".jpg","images\Sketches\grins\Homer Grin 3 back COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Homer Grin 3 back COLOR.jpg","False","440592","430.27 KB","5/8/2026 6:52:54 AM","Candidate for removal later if not needed by bridge"
"Zubby Tubby left side B&W.png",".png","images\Sketches\celebrity-characters\Teletubbies\Zubby Tubby left side B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\celebrity-characters\Teletubbies\Zubby Tubby left side B&W.png","False","440238","429.92 KB","5/8/2026 11:03:37 AM","Candidate for removal later if not needed by bridge"
"Rabbit Grin 2 B&W.jpg",".jpg","images\Sketches\grins\Rabbit Grin 2 B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Rabbit Grin 2 B&W.jpg","False","440086","429.77 KB","5/8/2026 6:53:03 AM","Candidate for removal later if not needed by bridge"
"mousemaskbill-back copy.jpg",".jpg","images\Sketches\Objects\money-and-currency\mousemaskbill-back copy.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Objects\money-and-currency\mousemaskbill-back copy.jpg","False","440035","429.72 KB","5/9/2026 11:41:49 AM","Candidate for removal later if not needed by bridge"
"Finn Grin COLOR.jpg",".jpg","images\Sketches\grins\Finn Grin COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Finn Grin COLOR.jpg","False","440021","429.71 KB","5/8/2026 6:53:03 AM","Candidate for removal later if not needed by bridge"
"Lisa Grin front B&W.jpg",".jpg","images\Sketches\grins\Lisa Grin front B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Lisa Grin front B&W.jpg","False","439450","429.15 KB","5/8/2026 6:53:03 AM","Candidate for removal later if not needed by bridge"
"series 1 #35 back - AQUA APES - Infant Aqua Ape - uncommon.jpg",".jpg","images\Sketches\aquatic-dwellers\aqua-apes\series 1 #35 back - AQUA APES - Infant Aqua Ape - uncommon.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\aquatic-dwellers\aqua-apes\series 1 #35 back - AQUA APES - Infant Aqua Ape - uncommon.jpg","False","439396","429.10 KB","5/6/2026 10:23:31 AM","Candidate for removal later if not needed by bridge"
"Area 54 Cards - 341 - Cavaler Avaler.jpg",".jpg","images\Sketches\aliens\Area 54 Cards - 341 - Cavaler Avaler.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\aliens\Area 54 Cards - 341 - Cavaler Avaler.jpg","False","438634","428.35 KB","5/9/2026 12:16:41 PM","Candidate for removal later if not needed by bridge"
