"ReferenceType","OriginalReference","IsExternalOrSkipped","ResolvedFullPath","ResolvedRelativePath","Exists","PathType"
"attribute:href","https://ronenglish-archive.github.io/ron-english-sketches-animals/Sketches/reptiles/index.html","True","","","",""
"attribute:src","../images/Sketches/reptiles-hero.jpg","False","D:\github\ron-english-sketches-and-drawings\images\Sketches\reptiles-hero.jpg","images\Sketches\reptiles-hero.jpg","True","File"
"attribute:href","https://ronenglish-archive.github.io/ron-english-sketches-mythic-dark/Sketches/skeletons/index.html","True","","","",""
"attribute:src","../images/Sketches/skeletons-hero.jpg","False","D:\github\ron-english-sketches-and-drawings\images\Sketches\skeletons-hero.jpg","images\Sketches\skeletons-hero.jpg","True","File"
"attribute:href","https://ronenglish-archive.github.io/ron-english-sketches-animals/Sketches/small-mammals/index.html","True","","","",""
"attribute:src","../images/Sketches/small-mammals-hero.jpg","False","D:\github\ron-english-sketches-and-drawings\images\Sketches\small-mammals-hero.jpg","images\Sketches\small-mammals-hero.jpg","True","File"
"attribute:href","https://ronenglish-archive.github.io/ron-english-sketches-animals/Sketches/snails/index.html","True","","","",""
"attribute:src","../images/Sketches/Snails/Pony%20Snail%20COLOR.jpg","False","D:\github\ron-english-sketches-and-drawings\images\Sketches\Snails\Pony Snail COLOR.jpg","images\Sketches\Snails\Pony Snail COLOR.jpg","True","File"
"attribute:href","https://ronenglish-archive.github.io/ron-english-sketches-mythic-dark/Sketches/tots/index.html","True","","","",""
"attribute:src","../images/Sketches/tots-hero.jpg","False","D:\github\ron-english-sketches-and-drawings\images\Sketches\tots-hero.jpg","images\Sketches\tots-hero.jpg","True","File"
"attribute:href","https://ronenglish-archive.github.io/ron-english-sketches-pop-culture/Sketches/tvities/index.html","True","","","",""
"attribute:src","../images/Sketches/tvities-hero.jpg","False","D:\github\ron-english-sketches-and-drawings\images\Sketches\tvities-hero.jpg","images\Sketches\tvities-hero.jpg","True","File"
"attribute:href","https://ronenglish-archive.github.io/ron-english-sketches-animals/Sketches/ungulates/index.html","True","","","",""
"attribute:src","../images/Sketches/ungulates-hero.jpg","False","D:\github\ron-english-sketches-and-drawings\images\Sketches\ungulates-hero.jpg","images\Sketches\ungulates-hero.jpg","True","File"
"attribute:href","https://ronenglish-archive.github.io/ron-english-sketches-mythic-dark/Sketches/yin-yangs/index.html","True","","","",""
"attribute:src","../images/Sketches/yin-yangs-hero.jpg","False","D:\github\ron-english-sketches-and-drawings\images\Sketches\yin-yangs-hero.jpg","images\Sketches\yin-yangs-hero.jpg","True","File"
"attribute:href","words-and-phrases/index.html","False","D:\github\ron-english-sketches-and-drawings\Sketches\words-and-phrases\index.html","Sketches\words-and-phrases\index.html","False","Missing"
"attribute:src","../images/Sketches/words-and-phrases-hero.jpg","False","D:\github\ron-english-sketches-and-drawings\images\Sketches\words-and-phrases-hero.jpg","images\Sketches\words-and-phrases-hero.jpg","True","File"
