"Action","Page","Detail"
"Merged image into target page","pinocchio-grin.html","Pinocchio Grin back B&W.jpg"
"Merged image into target page","pinocchio-grin.html","Pinocchio Grin back COLOR.jpg"
"Merged image into target page","pinocchio-grin.html","Pinocchio Grin back ORIGINAL.jpg"
"Merged image into target page","pinocchio-grin.html","Pinocchio Grin front B&W.jpg"
"Merged image into target page","pinocchio-grin.html","Pinocchio Grin front COLOR.jpg"
"Merged image into target page","pinocchio-grin.html","Pinocchio Grin front ORIGINAL.jpg"
"Merged image into target page","pinocchio-grin.html","pinocchio grin left side - B&W - Trace girl.jpg"
"Merged image into target page","pinocchio-grin.html","Pinocchio Grin Left Side COLOR.jpg"
"Merged image into target page","pinocchio-grin.html","Pinocchio Grin Left Side ORIGINAL.jpg"
"Merged image into target page","pinocchio-grin.html","Pinocchio Grin Left Side portrait ORIGINAL.jpg"
"Merged image into target page","pinocchio-grin.html","Pinocchio Grin Right Side B&W.jpg"
"Merged image into target page","pinocchio-grin.html","Pinocchio Grin Right Side ORIGINAL.jpg"
"Merged image into target page","pinocchio-grin.html","Pinocchio Grin Three Quarters B&W.jpg"
"Removed source card from index","pinocchio-grin-left-side-portrait.html","Merged into pinocchio-grin.html"
"Archived merged source page","pinocchio-grin-left-side-portrait.html","D:\github\ron-english-sketches-and-drawings\Sketches\grins\_archived-merged-pages\cleanup-pass-17-20260508-093842"
"Removed source card from index","pinocchio-grin-three-quarters.html","Merged into pinocchio-grin.html"
"Archived merged source page","pinocchio-grin-three-quarters.html","D:\github\ron-english-sketches-and-drawings\Sketches\grins\_archived-merged-pages\cleanup-pass-17-20260508-093842"
"Merged image into target page","pizza-this-grin.html","Pizza This Grin B&W.jpg"
"Merged image into target page","pizza-this-grin.html","Pizza This Grin COLOR.jpg"
"Merged image into target page","plush-bear-grin.html","Plush Bear Grin front B&W.jpg"
"Merged image into target page","plush-bear-grin.html","Plush Bear Grin front COLOR.jpg"
"Merged image into target page","plush-bear-grin.html","Plush Bear Grin front ORIGINAL COLOR.jpg"
"Merged image into target page","plush-bear-grin.html","Plush Bear Grinnies ORIGINAL COLOR.jpg"
"Removed source card from index","plush-bear-grinnies.html","Merged into plush-bear-grin.html"
"Archived merged source page","plush-bear-grinnies.html","D:\github\ron-english-sketches-and-drawings\Sketches\grins\_archived-merged-pages\cleanup-pass-17-20260508-093842"
"Updated index thumbnail","peko-girl-grin.html","Peko Girl Grin COLOR.jpg"
"Updated index thumbnail","pepz-boy-grin.html","Pepz Boy Grin COLOR.jpg"
"Updated index thumbnail","peter-grin.html","Peter Grin COLOR.jpg"
"Updated index thumbnail","peter-potamus-grin.html","Peter Potamus Grin COLOR.jpg"
"Updated index thumbnail","popeye-butthead-grin.html","Popeye Butthead Grin COLOR.jpg"
