"Action","Page","Detail"
"Merged image into target page","santa-cruz-hand-grin.html","Santa Cruz Hand Grin COLOR.png"
"Merged image into target page","ron-fink-grin.html","Ron Fink Grin B&W.jpg"
"Merged image into target page","ron-fink-grin.html","Ron Fink Grin COLOR.jpg"
"Merged image into target page","ron-fink-grin.html","Ron Fink Grin ORIGINAL (2).jpg"
"Merged image into target page","ron-fink-grin.html","Ron Fink Grin ORIGINAL.jpg"
"Removed source card from index","ron-fink-grin-original-2.html","Merged into ron-fink-grin.html"
"Archived merged source page","ron-fink-grin-original-2.html","D:\github\ron-english-sketches-and-drawings\Sketches\grins\_archived-merged-pages\cleanup-pass-21-20260508-101827"
"Updated index thumbnail","ron-fink-grin.html","Ron Fink Grin COLOR.jpg"
"Updated index thumbnail","robby-robot-grin.html","Robby Robot Grin COLOR.jpg"
"Updated index thumbnail","rosie-jetson-grin.html","Rosie Jetson Grin COLOR.jpg"
"Updated index thumbnail","rugrat-grin.html","Rugrat Grin COLOR.jpg"
"Updated index thumbnail","santa-cruz-hand-grin.html","Santa Cruz Hand Grin COLOR.png"
