"Action","Page","Detail"
"Merged image into target page","mummy-grin.html","Mummy Grin 1 COLOR.png"
"Merged image into target page","mummy-grin.html","Mummy Grin 2 COLOR.jpg"
"Merged image into target page","mummy-grin.html","Mummy Grin B&W.jpg"
"Merged image into target page","mummy-grin.html","Mummy Grin COLOR.jpg"
"Merged image into target page","mummy-grin.html","Mummy Grin ORIGINAL.jpg"
"Removed source card from index","mummy-grin-1.html","Merged into mummy-grin.html"
"Archived merged source page","mummy-grin-1.html","D:\github\ron-english-sketches-and-drawings\Sketches\grins\_archived-merged-pages\cleanup-pass-16-20260508-093512"
"Removed source card from index","mummy-grin-2.html","Merged into mummy-grin.html"
"Archived merged source page","mummy-grin-2.html","D:\github\ron-english-sketches-and-drawings\Sketches\grins\_archived-merged-pages\cleanup-pass-16-20260508-093512"
"Merged image into target page","monkey-shriner-grin.html","Monkey Grin Mouth B&W.jpg"
"Merged image into target page","monkey-shriner-grin.html","Monkey Grin Mouth COLOR.png"
"Removed source card from index","monkey-grin-mouth.html","Merged into monkey-shriner-grin.html"
"Archived merged source page","monkey-grin-mouth.html","D:\github\ron-english-sketches-and-drawings\Sketches\grins\_archived-merged-pages\cleanup-pass-16-20260508-093512"
"Merged image into target page","mush-man-grin.html","Mush Man grin B&W.jpg"
"Merged image into target page","mush-man-grin.html","Mush Man grin COLOR.jpg"
"Merged image into target page","mush-man-grin.html","Mush Man grin ORIGINAL (2).jpg"
"Merged image into target page","mush-man-grin.html","Mush Man grin ORIGINAL COLOR.jpg"
"Merged image into target page","mush-man-grin.html","Mush Man grin ORIGINAL.jpg"
"Merged image into target page","mush-man-grin.html","Mush Man Grin side view B&W.jpg"
"Merged image into target page","mush-man-grin.html","Mush Man Grin side view COLOR.jpg"
"Merged image into target page","mush-man-grin.html","Mush Man Grin side view ORIGINAL.jpg"
"Removed source card from index","mush-man-grin-original-2.html","Merged into mush-man-grin.html"
"Archived merged source page","mush-man-grin-original-2.html","D:\github\ron-english-sketches-and-drawings\Sketches\grins\_archived-merged-pages\cleanup-pass-16-20260508-093512"
"Merged image into target page","panda-bear-grin.html","Panda Grin B&W.jpg"
"Merged image into target page","panda-bear-grin.html","Panda Grin COLOR.jpg"
"Merged image into target page","panda-bear-grin.html","Panda Grin ORIGINAL COLOR.jpg"
"Merged image into target page","panda-bear-grin.html","Panda Grin ORIGINAL.jpg"
"Removed source card from index","panda-grin.html","Merged into panda-bear-grin.html"
"Archived merged source page","panda-grin.html","D:\github\ron-english-sketches-and-drawings\Sketches\grins\_archived-merged-pages\cleanup-pass-16-20260508-093512"
"Merged image into target page","patrick-grin.html","Patrick Grin in Water B&W.jpg"
"Merged image into target page","patrick-grin.html","Patrick Grin in Water COLOR.jpg"
"Merged image into target page","patrick-grin.html","Patrick Grin in Water ORIGINAL.jpg"
"Removed source card from index","patrick-grin-in-water.html","Merged into patrick-grin.html"
"Archived merged source page","patrick-grin-in-water.html","D:\github\ron-english-sketches-and-drawings\Sketches\grins\_archived-merged-pages\cleanup-pass-16-20260508-093512"
"Updated index thumbnail","mounted-gorilla-grin.html","Mounted Gorilla Grin COLOR.jpg"
"Updated index thumbnail","mush-man-grin.html","Mush Man grin COLOR.jpg"
"Updated index thumbnail","mutley-grin.html","Mutley Grin COLOR.1.jpg"
"Updated index thumbnail","olive-oil-grin.html","Olive Oil Grin COLOR.jpg"
