"Character","Page","Section","File","FullPath"
"Midget Bigfoot","midget-bigfoot.html","Digitized Versions","Midget Bigfoot COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Midget Bigfoot COLOR.jpg"
"Midget Bigfoot","midget-bigfoot.html","Trading Cards","series 2 #38 front - BIGFOOTS - MIdget Bigfoot - rare.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\series 2 #38 front - BIGFOOTS - MIdget Bigfoot - rare.jpg"
"Midget Bigfoot","midget-bigfoot.html","Trading Cards","series 2 #38 back - BIGFOOTS - Midget Bigfoot - rare.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\series 2 #38 back - BIGFOOTS - Midget Bigfoot - rare.jpg"
"Midget Bigfoot","midget-bigfoot.html","Additional Collector Card","Midget Bigfoot card.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Midget Bigfoot card.jpg"
"Bigfoot Tourist","bigfoot-tourist.html","Original Drawing","Bigfoot Tourist ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Bigfoot Tourist ORIGINAL.jpg"
"Bigfoot Tourist","bigfoot-tourist.html","Original Drawing","Bigfoot Tourist ORIGINAL COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Bigfoot Tourist ORIGINAL COLOR.jpg"
"Bigfoot Tourist","bigfoot-tourist.html","Digitized Versions","Bigfoot Tourist B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Bigfoot Tourist B&W.jpg"
"Bigfoot Tourist","bigfoot-tourist.html","Digitized Versions","Bigfoot Tourist COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Bigfoot Tourist COLOR.jpg"
"Li'l Bigfoot","lil-bigfoot.html","Original Drawing","Li'l Bigfoot ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot ORIGINAL.jpg"
"Li'l Bigfoot","lil-bigfoot.html","Digitized Versions","Li'l Bigfoot B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot B&W.jpg"
"Li'l Bigfoot","lil-bigfoot.html","Digitized Versions","Li'l Bigfoot COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot COLOR.jpg"
"Li'l Bigfoot","lil-bigfoot.html","Trading Cards","series 1 #36 front - BIGFOOTS - Lil Bigfoot - uncommon.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\series 1 #36 front - BIGFOOTS - Lil Bigfoot - uncommon.jpg"
"Li'l Bigfoot","lil-bigfoot.html","Trading Cards","series 1 #36 back - BIGFOOT - Li'l Bigfoot - uncommon.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\series 1 #36 back - BIGFOOT - Li'l Bigfoot - uncommon.jpg"
"Li'l Bigfoot","lil-bigfoot.html","Additional Collector Card","Li'l Bigfoot card.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot card.jpg"
"Bigfoot Feet","bigfoot-feet.html","Original Drawing","Bigfoot feet ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Bigfoot feet ORIGINAL.jpg"
"Bigfoot Feet","bigfoot-feet.html","Original Drawing","Bigfoot Footprint ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Bigfoot Footprint ORIGINAL.jpg"
"Urban Bigfoot with Hoodie","urban-bigfoot-with-hoodie.html","Digitized Versions","Urban Bigfoot with Hoodie front.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Urban Bigfoot with Hoodie front.jpg"
"Urban Bigfoot with Hoodie","urban-bigfoot-with-hoodie.html","Digitized Versions","Urban Bigfoot with Hoodie side.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Urban Bigfoot with Hoodie side.jpg"
"Fake Father Bigfoot","fake-father-bigfoot.html","Original Drawing","Fake Father Bigfoot ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Fake Father Bigfoot ORIGINAL.jpg"
"Fake Father Bigfoot","fake-father-bigfoot.html","Digitized Versions","Fake Father Bigfoot B&w.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Fake Father Bigfoot B&w.jpg"
"Fake Father Bigfoot","fake-father-bigfoot.html","Digitized Versions","Fake Father Bigfoot COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Fake Father Bigfoot COLOR.jpg"
"Fake Father Bigfoot","fake-father-bigfoot.html","Trading Cards","series 2 #6 front - BIGFOOTS - fake Father Bigfoot - common.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\series 2 #6 front - BIGFOOTS - fake Father Bigfoot - common.jpg"
"Fake Father Bigfoot","fake-father-bigfoot.html","Trading Cards","series 2 #6 back - BIGFOOTS - Fake Father Bigfoot - common.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\series 2 #6 back - BIGFOOTS - Fake Father Bigfoot - common.jpg"
"Fake Father Bigfoot","fake-father-bigfoot.html","Additional Collector Card","Fake Father Bigfoot card.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Fake Father Bigfoot card.jpg"
"New Urban Bigfoot","new-urban-bigfoot.html","Original Drawing","New Urban Bigfoot ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\New Urban Bigfoot ORIGINAL.jpg"
