"Status","Character","Page","Section","File","FullPath"
"Grouped","Midget Bigfoot","midget-bigfoot.html","Card","series 2 #38 front - BIGFOOTS - MIdget Bigfoot - rare.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\series 2 #38 front - BIGFOOTS - MIdget Bigfoot - rare.jpg"
"Grouped","Midget Bigfoot","midget-bigfoot.html","Card","series 2 #38 back - BIGFOOTS - Midget Bigfoot - rare.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\series 2 #38 back - BIGFOOTS - Midget Bigfoot - rare.jpg"
"Grouped","Midget Bigfoot","midget-bigfoot.html","Card","Midget Bigfoot card.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Midget Bigfoot card.jpg"
"Grouped","Midget Bigfoot","midget-bigfoot.html","Digital","Midget Bigfoot B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Midget Bigfoot B&W.jpg"
"Grouped","Midget Bigfoot","midget-bigfoot.html","Digital","Midget Bigfoot COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Midget Bigfoot COLOR.jpg"
"Grouped","Midget Bigfoot","midget-bigfoot.html","Original","Midget Bigfoot ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Midget Bigfoot ORIGINAL.jpg"
"Grouped","Bigfoot Tourist","bigfoot-tourist.html","Digital","Bigfoot Tourist B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Bigfoot Tourist B&W.jpg"
"Grouped","Bigfoot Tourist","bigfoot-tourist.html","Digital","Bigfoot Tourist COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Bigfoot Tourist COLOR.jpg"
"Grouped","Bigfoot Tourist","bigfoot-tourist.html","Original","Bigfoot Tourist ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Bigfoot Tourist ORIGINAL.jpg"
"Grouped","Bigfoot Tourist","bigfoot-tourist.html","Original","Bigfoot Tourist ORIGINAL COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Bigfoot Tourist ORIGINAL COLOR.jpg"
"Grouped","Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Digital","Li'l Bigfoot with beard front B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard front B&W.jpg"
"Grouped","Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Digital","Li'l Bigfoot with beard front COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard front COLOR.jpg"
"Grouped","Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Digital","Li'l Bigfoot with beard back B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard back B&W.jpg"
"Grouped","Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Digital","Li'l Bigfoot with beard back COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard back COLOR.jpg"
"Grouped","Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Digital","Li'l Bigfoot with beard side B&w.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard side B&w.jpg"
"Grouped","Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Digital","Li'l Bigfoot with beard side COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard side COLOR.jpg"
"Grouped","Li'l Bigfoot with Beard","lil-bigfoot-with-beard.html","Digital","Li'l Bigfoot with beard three quarters B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Li'l Bigfoot with beard three quarters B&W.jpg"
