"Title","Page","Image","Status","Detail"
"Blue From Blue's Clues Grin","blue-from-blues-clues-grin.html","Blue From Blueâ€™s Clues Grin COLOR.jpg","Skipped - image file not found","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Blue From Blueâ€™s Clues Grin COLOR.jpg"
"Cap'n Cornstarch Grin","capn-cornstarch-grin.html","Capâ€™n Cornstarch Grin COLOR.jpg","Skipped - image file not found","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Capâ€™n Cornstarch Grin COLOR.jpg"
