"Status","SourceFile","OutputFile","SourceSizeKB","OutputSizeKB","Error"
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Bub Quack and Friends ORIGINAL COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Bub Quack and Friends ORIGINAL COLOR.jpg","18571.1","267.2",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Bull and Mousemask B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Bull and Mousemask B&W.jpg","1607.9","187",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Bull and Mousemask back ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Bull and Mousemask back ORIGINAL.jpg","1385.6","283.6",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Bull and Mousemask COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Bull and Mousemask COLOR.jpg","1841.9","184.8",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Bull and Mousemask front ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Bull and Mousemask front ORIGINAL.jpg","1237.4","179.8",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Bunnnies ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Bunnnies ORIGINAL.jpg","5325.3","204.9",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Bunnny Mermaid and Paws B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Bunnny Mermaid and Paws B&W.jpg","3450.1","164.4",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Bunnny Mermaid and Paws COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Bunnny Mermaid and Paws COLOR.jpg","3337.5","168.7",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Bunnny Mermaid and Paws ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Bunnny Mermaid and Paws ORIGINAL.jpg","1888.1","180.5",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Burger Shot and Cowgirl B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Burger Shot and Cowgirl B&W.jpg","2630.7","183.9",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Burger Shot and Cowgirl ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Burger Shot and Cowgirl ORIGINAL.jpg","2045.5","277",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Burger Shot ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Burger Shot ORIGINAL.jpg","2045.5","277",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Captain and Jeremiah ink 14x17.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Captain and Jeremiah ink 14x17.jpg","4253.9","332.9",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Carrot and Friends ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Carrot and Friends ORIGINAL.jpg","2515.8","243",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Cathy Ronnnie Punk Skunk B&W (2).png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Cathy Ronnnie Punk Skunk B&W (2).jpg","1099.9","154",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Cathy Ronnnie Punk Skunk B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Cathy Ronnnie Punk Skunk B&W.jpg","968","146.8",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Cathy Ronnnie Punk Skunk COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Cathy Ronnnie Punk Skunk COLOR.jpg","1270","150",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Cathy Ronnnie Punk Skunk ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Cathy Ronnnie Punk Skunk ORIGINAL.jpg","1878.3","225",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Centaur See No Evil ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Centaur See No Evil ORIGINAL.jpg","734.7","239.6",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Cereal Killers Guernica 1 ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Cereal Killers Guernica 1 ORIGINAL.jpg","1402","255",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Cereal Killers Guernica 2 ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Cereal Killers Guernica 2 ORIGINAL.jpg","1471.6","255.4",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Combrat and Friends ORIGINAL.JPG","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Combrat and Friends ORIGINAL.jpg","15575.5","135.1",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Combrat Horse ORIGINAL COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Combrat Horse ORIGINAL COLOR.jpg","7105.6","107",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Combrat Horse ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Combrat Horse ORIGINAL.jpg","7745.3","144.1",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Couch Potato and Cellular B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Couch Potato and Cellular B&W.jpg","5817.4","347.7",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Couch Potato and Cellular COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Couch Potato and Cellular COLOR.jpg","8635.8","356.4",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Couch Potato and Cellular ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Couch Potato and Cellular ORIGINAL.jpg","5096.4","343",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Couch Potatoes B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Couch Potatoes B&W.jpg","3144.2","172.2",""
