"ProposedTitle","ProposedSlug","Kind","HasOriginalInName","HeroRank","FileName","SizeKB","FullPath"
"Swirly Angie Aqua Ape","swirly-angie-aqua-ape","Original Drawing","True","50","Swirly Angie Aqua Ape ORIGINAL.jpg","156.1","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Swirly Angie Aqua Ape ORIGINAL.jpg"
"The Gang","the-gang","Original Drawing","True","50","The Gang ORIGINAL.jpg","212.6","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\The Gang ORIGINAL.jpg"
"The Prophet Potato","the-prophet-potato","Digital Version","False","20","The Prophet Potato B&W.jpg","177.2","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\The Prophet Potato B&W.jpg"
"The Prophet Potato","the-prophet-potato","Digital Version","False","1","The Prophet Potato COLOR.jpg","217.2","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\The Prophet Potato COLOR.jpg"
"The Prophet Potato","the-prophet-potato","Original Drawing","True","50","The Prophet Potato ORIGINAL.jpg","199.7","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\The Prophet Potato ORIGINAL.jpg"
"Tot and Friends","tot-and-friends","Original Drawing","True","1","Tot and Friends ORIGINAL COLOR.jpg","220.5","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Tot and Friends ORIGINAL COLOR.jpg"
"Tot and Friends","tot-and-friends","Original Drawing","True","50","Tot and Friends ORIGINAL.jpg","237.3","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Tot and Friends ORIGINAL.jpg"
"Trio 14X17","trio-14x17","Digital Version","False","10","Trio 14x17.jpg","287.4","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Trio 14x17.jpg"
"Ufo Landing","ufo-landing","Original Drawing","True","1","UFO Landing ORIGINAL COLOR.jpg","304.7","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\UFO Landing ORIGINAL COLOR.jpg"
"Ufo Landing","ufo-landing","Original Drawing","True","50","UFO Landing ORIGINAL.jpg","313.3","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\UFO Landing ORIGINAL.jpg"
"Unsee This Art","unsee-this-art","Digital Version","False","20","Unsee this Art B&W.jpg","221.2","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Unsee this Art B&W.jpg"
"Unsee This Art","unsee-this-art","Original Drawing","True","50","Unsee this Art ORIGINAL.jpg","294.9","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Unsee this Art ORIGINAL.jpg"
"Waylone and Bunnny","waylone-and-bunnny","Digital Version","False","20","Waylone and Bunnny B&W.jpg","202.8","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Waylone and Bunnny B&W.jpg"
"Waylone and Bunnny","waylone-and-bunnny","Original Drawing","True","50","Waylone and Bunnny ORIGINAL.jpg","323","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Waylone and Bunnny ORIGINAL.jpg"
"Wolf Carousel","wolf-carousel","Digital Version","False","1","Wolf Carousel color.jpg","279.4","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Wolf Carousel color.jpg"
"X-Ray Guernica","x-ray-guernica","Original Drawing","True","50","X-Ray Guernica ORIGINAL.jpg","291.8","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\X-Ray Guernica ORIGINAL.jpg"
