"ProposedTitle","ProposedSlug","Kind","HasOriginalInName","HeroRank","FileName","SizeKB","FullPath"
"Potato Comic Pages 2","potato-comic-pages-2","Digital Version","False","1","Potato Comic Pages 2 COLOR.jpg","468.5","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Potato Comic Pages 2 COLOR.jpg"
"Potato Comic Pages 2","potato-comic-pages-2","Original Drawing","True","50","Potato Comic Pages 2 ORIGINAL.jpg","390.4","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Potato Comic Pages 2 ORIGINAL.jpg"
"Potato Comic Pages 3","potato-comic-pages-3","Digital Version","False","1","Potato Comic Pages 3 COLOR.jpg","237.7","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Potato Comic Pages 3 COLOR.jpg"
"Potato Comic Pages 3","potato-comic-pages-3","Original Drawing","True","50","Potato Comic Pages 3 ORIGINAL.jpg","258.7","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Potato Comic Pages 3 ORIGINAL.jpg"
"Potato Comic Pages 4","potato-comic-pages-4","Digital Version","False","20","Potato Comic Pages 4 B&W.jpg","281.4","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Potato Comic Pages 4 B&W.jpg"
"Potato Comic Pages 4","potato-comic-pages-4","Digital Version","False","1","Potato Comic Pages 4 COLOR.jpg","295.7","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Potato Comic Pages 4 COLOR.jpg"
"Potato Comic Pages 4","potato-comic-pages-4","Original Drawing","True","50","Potato Comic Pages 4 ORIGINAL.jpg","285.1","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Potato Comic Pages 4 ORIGINAL.jpg"
"Potato Comic Pages Deer","potato-comic-pages-deer","Digital Version","False","20","Potato Comic Pages Deer B&W.jpg","280.9","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Potato Comic Pages Deer B&W.jpg"
"Potato Comic Pages Deer","potato-comic-pages-deer","Digital Version","False","1","Potato Comic Pages Deer COLOR.jpg","316.9","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Potato Comic Pages Deer COLOR.jpg"
"Potato Comic Pages Deer","potato-comic-pages-deer","Original Drawing","True","50","Potato Comic Pages Deer ORIGINAL.jpg","311.5","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Potato Comic Pages Deer ORIGINAL.jpg"
"Poultry Rex and Bunnnie","poultry-rex-and-bunnnie","Original Drawing","True","50","Poultry Rex and Bunnnie ORIGINAL.jpg","271.1","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Poultry Rex and Bunnnie ORIGINAL.jpg"
"Punk and Forlorn","punk-and-forlorn","Digital Version","False","10","punk and forlorn.jpg","167","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\punk and forlorn.jpg"
"Punk Skunk Guernica 1","punk-skunk-guernica-1","Digital Version","False","10","Punk Skunk Guernica sketch 1.jpg","248.9","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Punk Skunk Guernica sketch 1.jpg"
"Punk Skunk Guernica 2","punk-skunk-guernica-2","Digital Version","False","10","Punk Skunk Guernica sketch 2.jpg","134.4","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Punk Skunk Guernica sketch 2.jpg"
"Rabbbit Family","rabbbit-family","Original Drawing","True","1","Rabbbit Family ORIGINAL COLOR.jpg","214.3","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbit Family ORIGINAL COLOR.jpg"
"Rabbbit Family","rabbbit-family","Original Drawing","True","50","Rabbbit Family ORIGINAL.jpg","221.3","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Rabbbit Family ORIGINAL.jpg"
