"File","RelativePath","FullPath","WillChange","Backup","Status"
"aston-nish.html","Sketches\aliens\aston-nish.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\aston-nish.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\aston-nish.html.bak-centering-20260507-142124","Updated"
"astragrockle.html","Sketches\aliens\astragrockle.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\astragrockle.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\astragrockle.html.bak-centering-20260507-142124","Updated"
"astral-alex.html","Sketches\aliens\astral-alex.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\astral-alex.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\astral-alex.html.bak-centering-20260507-142124","Updated"
"astral-galexic.html","Sketches\aliens\astral-galexic.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\astral-galexic.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\astral-galexic.html.bak-centering-20260507-142124","Updated"
"astral-galexic-version-2.html","Sketches\aliens\astral-galexic-version-2.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\astral-galexic-version-2.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\astral-galexic-version-2.html.bak-centering-20260507-142124","Updated"
"astro.html","Sketches\aliens\astro.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\astro.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\astro.html.bak-centering-20260507-142124","Updated"
"astrokurse.html","Sketches\aliens\astrokurse.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\astrokurse.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\astrokurse.html.bak-centering-20260507-142124","Updated"
"astropatra.html","Sketches\aliens\astropatra.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\astropatra.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\astropatra.html.bak-centering-20260507-142124","Updated"
"astrostotle.html","Sketches\aliens\astrostotle.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\astrostotle.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\astrostotle.html.bak-centering-20260507-142124","Updated"
"axus-aliender.html","Sketches\aliens\axus-aliender.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\axus-aliender.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\axus-aliender.html.bak-centering-20260507-142124","Updated"
"bacchan-complainer.html","Sketches\aliens\bacchan-complainer.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\bacchan-complainer.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\bacchan-complainer.html.bak-centering-20260507-142124","Updated"
"bee-sting-alien.html","Sketches\aliens\bee-sting-alien.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\bee-sting-alien.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\bee-sting-alien.html.bak-centering-20260507-142124","Updated"
"bert-e-brator.html","Sketches\aliens\bert-e-brator.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\bert-e-brator.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\bert-e-brator.html.bak-centering-20260507-142124","Updated"
"berzerk-krypton.html","Sketches\aliens\berzerk-krypton.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\berzerk-krypton.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\berzerk-krypton.html.bak-centering-20260507-142124","Updated"
"blotto-grog.html","Sketches\aliens\blotto-grog.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\blotto-grog.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\blotto-grog.html.bak-centering-20260507-142124","Updated"
